cv_aucs,test_aucs,model
0.7908605038527344,0.8445269016697589,L2_Logistic_Regression
0.7874805552433405,0.8429189857761287,L2_Logistic_Regression
0.7913125866396913,0.8259740259740259,L2_Logistic_Regression
0.7982961563198582,0.7839208410636982,L2_Logistic_Regression
0.7870036263784297,0.8559059987631417,L2_Logistic_Regression
0.8107389054362893,0.7583178726035869,L2_Logistic_Regression
0.7965033516291384,0.8223871366728509,L2_Logistic_Regression
0.7975505616749716,0.812987012987013,L2_Logistic_Regression
0.8016031714810236,0.7998763141620284,L2_Logistic_Regression
0.78399798309043,0.830117501546073,L2_Logistic_Regression
0.7899400671886904,0.8103896103896104,L2_Logistic_Regression
0.8090833458219375,0.7824366110080395,L2_Logistic_Regression
0.8064447394877174,0.7719233147804576,L2_Logistic_Regression
0.7976272120440099,0.7993197278911565,L2_Logistic_Regression
0.779088723727099,0.8260977118119975,L2_Logistic_Regression
0.792105303910182,0.8399505256648114,L2_Logistic_Regression
0.7955589274786757,0.8244279529993815,L2_Logistic_Regression
0.809096532226843,0.7572047000618429,L2_Logistic_Regression
0.8030458722041137,0.8063079777365492,L2_Logistic_Regression
0.7828697376144268,0.8354359925788497,L2_Logistic_Regression
0.7999602113071822,0.8278293135435992,L2_Logistic_Regression
0.7877102394065415,0.8209647495361782,L2_Logistic_Regression
0.790005165598891,0.8225108225108225,L2_Logistic_Regression
0.809680093477202,0.7700061842918986,L2_Logistic_Regression
0.785389524246625,0.8514533085961657,L2_Logistic_Regression
0.7978979587376519,0.7893011750154607,L2_Logistic_Regression
0.8008229100320957,0.7900432900432901,L2_Logistic_Regression
0.7994149838272576,0.8254792826221398,L2_Logistic_Regression
0.7777086892585515,0.8717996289424861,L2_Logistic_Regression
0.7921708113221685,0.8359925788497217,L2_Logistic_Regression
0.7813077519888102,0.857452071737786,L2_Logistic_Regression
0.78210224264109,0.8528756957328386,L2_Logistic_Regression
0.793826917312952,0.8341991341991342,L2_Logistic_Regression
0.8115851738413697,0.8020408163265307,L2_Logistic_Regression
0.7959454482160029,0.8098948670377242,L2_Logistic_Regression
0.8052805190263884,0.7675324675324675,L2_Logistic_Regression
0.7939911143581482,0.8228200371057514,L2_Logistic_Regression
0.7840679208347383,0.8470624613481756,L2_Logistic_Regression
0.7884993599590374,0.851948051948052,L2_Logistic_Regression
0.787124367764415,0.8411873840445269,L2_Logistic_Regression
0.7854104176813658,0.8239950525664811,L2_Logistic_Regression
0.7967615191762517,0.8192949907235622,L2_Logistic_Regression
0.7863037088032171,0.8494124922696351,L2_Logistic_Regression
0.7985892123437364,0.8029066171923315,L2_Logistic_Regression
0.8044370449464864,0.7999381570810142,L2_Logistic_Regression
0.7852894218400709,0.843661100803958,L2_Logistic_Regression
0.7861246097311203,0.8328385899814471,L2_Logistic_Regression
0.8053279835275311,0.7929499072356215,L2_Logistic_Regression
0.7855347823236297,0.8371675943104515,L2_Logistic_Regression
0.787988867970477,0.8217068645640074,L2_Logistic_Regression
0.7762382013912305,0.8803339517625232,L2_Logistic_Regression
0.7925161727423726,0.8183055040197897,L2_Logistic_Regression
0.7734858316785933,0.8702535559678417,L2_Logistic_Regression
0.789658208759507,0.806369820655535,L2_Logistic_Regression
0.7857565206124412,0.8403834260977118,L2_Logistic_Regression
0.7814355416307619,0.8385899814471243,L2_Logistic_Regression
0.8090038823948147,0.7583178726035869,L2_Logistic_Regression
0.8002435886628452,0.8018552875695732,L2_Logistic_Regression
0.7988457891548961,0.8016697588126159,L2_Logistic_Regression
0.7949686848250971,0.8152752009894867,L2_Logistic_Regression
0.7967029804053801,0.8162646876932591,L2_Logistic_Regression
0.775081164999438,0.86573902288188,L2_Logistic_Regression
0.7851076221073271,0.8654298082869512,L2_Logistic_Regression
0.7838278773743959,0.8503401360544218,L2_Logistic_Regression
0.7935614954479038,0.8160791589363018,L2_Logistic_Regression
0.7926839306008268,0.8150896722325294,L2_Logistic_Regression
0.8087221941228628,0.7818181818181819,L2_Logistic_Regression
0.8148347523509797,0.7914656771799629,L2_Logistic_Regression
0.7910421209396425,0.8040197897340755,L2_Logistic_Regression
0.7800869081962709,0.863821892393321,L2_Logistic_Regression
0.7911253543641427,0.8160791589363018,L2_Logistic_Regression
0.7797882447891299,0.8688930117501547,L2_Logistic_Regression
0.8010362247574089,0.7880024737167595,L2_Logistic_Regression
0.790562143294244,0.8141620284477428,L2_Logistic_Regression
0.7814564834588438,0.837847866419295,L2_Logistic_Regression
0.7854800385273438,0.8202844774273346,L2_Logistic_Regression
0.7894024468297678,0.8361162646876933,L2_Logistic_Regression
0.7981432021405468,0.8238095238095238,L2_Logistic_Regression
0.8030485260324953,0.8346320346320346,L2_Logistic_Regression
0.78074244439449,0.8512677798392084,L2_Logistic_Regression
0.7930208044534363,0.8307977736549165,L2_Logistic_Regression
0.7925087498282817,0.8029684601113173,L2_Logistic_Regression
0.7974401639753724,0.7967223252937539,L2_Logistic_Regression
0.7867148180410376,0.8321583178726036,L2_Logistic_Regression
0.7951235466386922,0.8359925788497217,L2_Logistic_Regression
0.7897299823286251,0.8354978354978355,L2_Logistic_Regression
0.7873393934284965,0.8498453927025356,L2_Logistic_Regression
0.788105060382401,0.8186765615337044,L2_Logistic_Regression
0.7823196536285639,0.8692022263450835,L2_Logistic_Regression
0.8010061100495798,0.7803339517625232,L2_Logistic_Regression
0.7990141339777453,0.7987631416202845,L2_Logistic_Regression
0.788013642238957,0.8421768707482993,L2_Logistic_Regression
0.781717585827932,0.82708719851577,L2_Logistic_Regression
